ds,y
1970-01-01 00:02:01.100000000,1602547200
1970-01-01 00:02:01.190000000,1602633600
1970-01-01 00:02:01.210000000,1616716800
1970-01-01 00:02:01.260000000,1614297600
1970-01-01 00:02:01.390000000,1616976000
1970-01-01 00:02:01.420000000,1614902400
1970-01-01 00:02:01.780000000,1607472000
1970-01-01 00:02:01.780000000,1607904000
1970-01-01 00:02:01.960000000,1615420800
1970-01-01 00:02:02.060000000,1614729600
1970-01-01 00:02:02.150000000,1617148800
1970-01-01 00:02:02.250000000,1607040000
1970-01-01 00:02:02.410000000,1607644800
1970-01-01 00:02:02.540000000,1616457600
1970-01-01 00:02:02.720000000,1606780800
1970-01-01 00:02:02.770000000,1620777600
1970-01-01 00:02:02.940000000,1606953600
1970-01-01 00:02:03.000000000,1617235200
1970-01-01 00:02:03.080000000,1606867200
1970-01-01 00:02:03.240000000,1607558400
1970-01-01 00:02:03.390000000,1616371200
1970-01-01 00:02:03.750000000,1607299200
1970-01-01 00:02:03.990000000,1615766400
1970-01-01 00:02:04.280000000,1622505600
1970-01-01 00:02:04.370000000,1597968000
1970-01-01 00:02:04.380000000,1607385600
1970-01-01 00:02:04.400000000,1602460800
1970-01-01 00:02:04.610000000,1622160000
1970-01-01 00:02:04.690000000,1621382400
1970-01-01 00:02:04.760000000,1615939200
1970-01-01 00:02:04.807500000,1598572800
1970-01-01 00:02:04.825000000,1598313600
1970-01-01 00:02:04.850000000,1621296000
1970-01-01 00:02:04.970000000,1620864000
1970-01-01 00:02:05.010000000,1598486400
1970-01-01 00:02:05.120000000,1614643200
1970-01-01 00:02:05.280000000,1622073600
1970-01-01 00:02:05.350000000,1614124800
1970-01-01 00:02:05.430000000,1621555200
1970-01-01 00:02:05.570000000,1615852800
1970-01-01 00:02:05.857500000,1598227200
1970-01-01 00:02:05.860000000,1614038400
1970-01-01 00:02:05.900000000,1617580800
1970-01-01 00:02:05.910000000,1620691200
1970-01-01 00:02:06.000000000,1613952000
1970-01-01 00:02:06.210000000,1617667200
1970-01-01 00:02:06.270000000,1621209600
1970-01-01 00:02:06.522500000,1598400000
1970-01-01 00:02:06.600000000,1609891200
1970-01-01 00:02:06.655000000,1608249600
1970-01-01 00:02:06.850000000,1620604800
1970-01-01 00:02:06.850000000,1621987200
1970-01-01 00:02:06.900000000,1621900800
1970-01-01 00:02:07.100000000,1621814400
1970-01-01 00:02:07.140000000,1610668800
1970-01-01 00:02:07.310000000,1621468800
1970-01-01 00:02:07.450000000,1620950400
1970-01-01 00:02:07.790000000,1614556800
1970-01-01 00:02:07.810000000,1608076800
1970-01-01 00:02:07.830000000,1611014400
1970-01-01 00:02:07.850000000,1620086400
1970-01-01 00:02:07.880000000,1607990400
1970-01-01 00:02:07.900000000,1617753600
1970-01-01 00:02:08.100000000,1620172800
1970-01-01 00:02:08.229999999,1608508800
1970-01-01 00:02:08.699999999,1608163200
1970-01-01 00:02:08.800000000,1610409600
1970-01-01 00:02:08.910000000,1610582400
1970-01-01 00:02:08.979999999,1610323200
1970-01-01 00:02:09.039999999,1598832000
1970-01-01 00:02:09.410000000,1609718400
1970-01-01 00:02:09.710000000,1613606400
1970-01-01 00:02:09.740000000,1620259200
1970-01-01 00:02:09.870000000,1613692800
1970-01-01 00:02:10.210000000,1620345600
1970-01-01 00:02:10.360000000,1617840000
1970-01-01 00:02:10.840000000,1613520000
1970-01-01 00:02:10.889999999,1610496000
1970-01-01 00:02:10.919999999,1609977600
1970-01-01 00:02:10.960000000,1608681600
1970-01-01 00:02:11.009999999,1609804800
1970-01-01 00:02:11.240000000,1618185600
1970-01-01 00:02:11.400000000,1599004800
1970-01-01 00:02:11.460000000,1619740800
1970-01-01 00:02:11.880000000,1608595200
1970-01-01 00:02:11.940000000,1619049600
1970-01-01 00:02:11.960000000,1611878400
1970-01-01 00:02:11.970000000,1608768000
1970-01-01 00:02:12.030000000,1611100800
1970-01-01 00:02:12.030000000,1618358400
1970-01-01 00:02:12.050000000,1610064000
1970-01-01 00:02:12.539999999,1620000000
1970-01-01 00:02:12.690000000,1609372800
1970-01-01 00:02:12.995000000,1617926400
1970-01-01 00:02:13.110000000,1618876800
1970-01-01 00:02:13.190000000,1613433600
1970-01-01 00:02:13.479999999,1619654400
1970-01-01 00:02:13.500000000,1618963200
1970-01-01 00:02:13.580000000,1619568000
1970-01-01 00:02:13.720000000,1609286400
1970-01-01 00:02:13.940000000,1612310400
1970-01-01 00:02:14.139999999,1612137600
1970-01-01 00:02:14.160000000,1618531200
1970-01-01 00:02:14.180000000,1598918400
1970-01-01 00:02:14.320000000,1619136000
1970-01-01 00:02:14.389999999,1619481600
1970-01-01 00:02:14.430000000,1618272000
1970-01-01 00:02:14.500000000,1618444800
1970-01-01 00:02:14.720000000,1619395200
1970-01-01 00:02:14.840000000,1618790400
1970-01-01 00:02:14.870000000,1609200000
1970-01-01 00:02:14.990000000,1612224000
1970-01-01 00:02:15.130000000,1613001600
1970-01-01 00:02:15.370000000,1613088000
1970-01-01 00:02:15.389999999,1612915200
1970-01-01 00:02:16.009999999,1612828800
1970-01-01 00:02:16.690000000,1609113600
1970-01-01 00:02:16.759999999,1612483200
1970-01-01 00:02:16.870000000,1611187200
1970-01-01 00:02:16.910000000,1612742400
1970-01-01 00:02:17.090000000,1611792000
1970-01-01 00:02:17.389999999,1612396800
1970-01-01 00:02:19.070000000,1611273600
1970-01-01 00:02:22.060000000,1611705600
1970-01-01 00:02:22.920000000,1611532800
1970-01-01 00:02:23.160000000,1611619200
